company_id,payment_note_date,payment_note_amount,financials_date,financials_date-1,financials_date-2,financials_date-3,financials_date-4,revenue,revenue-1,revenue-2,revenue-3,revenue-4,net_sales,net_sales-1,net_sales-2,net_sales-3,net_sales-4,profit_after_net_financial_items,profit_after_net_financial_items-1,profit_after_net_financial_items-2,profit_after_net_financial_items-3,profit_after_net_financial_items-4,profit,profit-1,profit-2,profit-3,profit-4,assets,assets-1,assets-2,assets-3,assets-4,lt_liabilities,lt_liabilities-1,lt_liabilities-2,lt_liabilities-3,lt_liabilities-4,equity,equity-1,equity-2,equity-3,equity-4,equity_ratio,equity_ratio-1,equity_ratio-2,equity_ratio-3,equity_ratio-4,profit_margin,profit_margin-1,profit_margin-2,profit_margin-3,profit_margin-4,cash_ratio,cash_ratio-1,cash_ratio-2,cash_ratio-3,cash_ratio-4,Rating
5307,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,9151,8787,10905,8449,6739,9038,8787,10886,8440,6561,-553,-188,206,376,349,107,1,0,0,41,9442,8517,10340,10253,7675,4242,3105,4129,4453,3600,1666,1719,1818,1818,1818,17.6,26.5,24.3,22.9,26.8,-4.7,-0.9,3.3,6.1,7.4,37.1,50.6,53.1,69.4,52,B
5308,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,5912,7744,7555,5419,5737,5808,7740,7481,5419,5737,-13,270,299,91,42,-13,207,233,68,32,1370,1617,2162,1282,1303,0,0,0,0,0,490,502,446,369,401,35.8,31,20.6,28.8,30.8,-0.2,3.5,4,1.7,0.7,125.3,135,125.8,140.1,138.3,A
5309,,0,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,17363,15810,14080,13872,18399,17337,15763,14031,13856,18377,368,287,-348,45,378,263,240,51,31,214,7529,8231,7608,7986,6243,2952,3436,3864,3590,2908,1269,1006,766,715,684,16.9,12.2,10.1,13,16.1,2.9,2.9,-1.5,1.3,2.8,85.6,87.8,94.3,106.4,104.2,A
5310,,0,Aug-17,Aug-16,Aug-15,Aug-14,Aug-13,18882,11828,11310,12618,9530,18661,11528,10987,12402,9370,2526,515,593,988,792,1556,767,316,557,432,7709,4510,4193,3906,2767,0,0,0,0,0,2518,1712,1244,1228,821,41.1,43.3,44.1,43.3,38.7,13.4,4.4,5.2,7.8,8.3,161.1,157,165.3,176.6,158.1,AAA
5311,,0,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,15053,12357,8287,5181,4913,14947,11954,8253,5137,4913,822,775,417,111,680,440,420,234,73,477,4543,2690,2155,1762,1904,418,0,0,0,15,1239,1099,879,845,971,36.7,50,44.6,52.6,55.3,5.5,6.3,5.1,2.3,14.1,192.1,210.9,180,223.6,263,A
5312,,0,Aug-18,Aug-17,Aug-16,Aug-15,Apr-14,21010,23858,20389,37211,11962,20466,23712,20307,37139,11882,-1498,1435,877,2731,1294,-169,1174,674,1510,500,8664,8807,6802,8631,5567,460,0,0,0,0,2573,2741,1818,2843,1833,32.3,45.4,46.6,49.1,47.7,-6.9,6,4.3,7.3,10.8,132.4,209.5,239.9,239.5,199.1,AAA
5313,,,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,14395,13287,10346,11092,9053,14303,12943,10067,11055,8970,1081,413,703,331,356,608,385,536,335,207,5303,4980,4319,4425,3615,0,0,0,201,116,2092,1784,1699,1413,1228,51.3,43.9,50.3,42.4,49.2,7.5,3.1,6.8,3.1,4,265,212.4,264.2,187.4,217.2,AAA
5314,,,Apr-18,Apr-17,Apr-16,Apr-15,Apr-14,13224,10513,10978,11400,12427,13224,10457,10540,11400,12417,339,56,87,195,308,94,56,61,137,238,7324,5899,5236,6100,6015,2153,1864,1461,1723,1957,998,904,848,787,650,17.3,17.4,18.6,14.9,12.9,3.4,1.6,1.7,2.7,4.5,63.8,57.2,39.1,47.8,40,A
5315,,,Dec-17,Dec-16,,,,6689,2456,,,,6623,2456,,,,616,-61,,,,479,-61,,,,959,372,,,,0,0,,,,468,-11,,,,48.8,-3,,,,9.3,-2.4,,,,189.2,88.5,,,,AA
5316,,0,Dec-17,Dec-16,Dec-15,Dec-14,Dec-13,44125,39310,59193,23435,20045,43945,39253,59056,21970,19700,697,552,4864,524,2495,420,361,2557,213,2010,12412,11212,13138,9465,5487,211,265,296,408,155,1825,2905,3794,1236,2123,26.4,38.9,40,17,42.8,1.6,1.4,8.6,2.4,12.6,139.3,169.9,169.6,116.1,175.4,AA
5317,,0,Aug-17,Aug-16,Aug-15,Aug-14,Aug-13,48361,72554,49774,47488,24233,48069,71662,49300,47309,24138,-4022,6548,3879,-4196,-585,49,10548,9379,104,-585,51642,45345,32942,25127,19794,0,0,4365,3750,5717,20128,20079,9531,353,249,39,44.3,28.9,1.4,1.3,-5.9,9.1,8,-8,-0.7,90.7,78.8,64.9,71.3,84.4,AA
